,budget,domestic_revenue,world_revenue,year,isAdult,runtimeMinutes,averageRating,numVotes
0,1455000.0,2620000.0,2620000.0,1968,0,113.0,5.6,3557
1,2500000.0,12300000.0,12300000.0,1971,0,98.0,6.3,42119
2,1800000.0,8800000.0,8800000.0,1973,0,93.0,5.4,35911
3,11000000.0,20000000.0,20221274.0,1975,0,185.0,8.1,187337
4,7000000.0,25000000.0,25000076.0,1976,0,119.0,6.8,62211
5,3800000.0,23689877.0,23698846.0,1976,0,121.0,8.1,174053
6,1200000.0,887000.0,887000.0,1976,0,99.0,5.4,1283
7,500000.0,17000000.0,17000000.0,1977,0,97.0,5.7,6388
8,100000.0,7000000.0,7097971.0,1977,0,89.0,7.3,130609
9,14000000.0,1000000.0,1000000.0,1978,0,127.0,5.9,1183
10,12000000.0,19000000.0,19000000.0,1978,0,125.0,7.0,31407
11,3000000.0,32653000.0,32653000.0,1978,0,127.0,7.3,15145
12,35000000.0,1500000.0,1502136.0,1978,0,173.0,8.2,17770
13,3500000.0,8000000.0,8000000.0,1978,0,97.0,5.8,14249
14,350000.0,10000000.0,10000000.0,1981,0,,7.2,7
15,17000000.0,2110050.0,2110453.0,1981,0,95.0,6.1,4756
16,400000.0,126387.0,136926.0,1981,0,,7.2,7
17,2600000.0,3147950.0,3305831.0,1987,0,140.0,7.6,24451
18,350000.0,4000000.0,4000000.0,1987,0,90.0,4.9,9956
19,11000000.0,2000000.0,2000000.0,1991,0,102.0,5.2,22022
20,8000000.0,2275557.0,2275557.0,1991,0,79.0,6.1,21155
21,500000.0,55000.0,55000.0,1991,0,97.0,5.8,4517
22,450000.0,2712293.0,2712293.0,1991,0,91.0,5.8,680
23,19000000.0,2119994.0,2119994.0,1993,0,92.0,5.8,2474
24,6000000.0,3273588.0,3273588.0,1993,0,99.0,6.5,7088
25,2000000.0,21000.0,21000.0,1993,0,97.0,5.9,17230
26,1800000.0,673.0,673.0,1993,0,93.0,6.0,2464
27,20000000.0,8000000.0,8000000.0,1969,0,149.0,6.9,7049
28,400000.0,0.0,9442.0,1986,0,97.0,6.8,17642
29,25000000.0,16118077.0,16118077.0,1988,0,107.0,5.7,9162
30,10000.0,527.0,527.0,1996,0,,7.2,7
31,40000000.0,74103820.0,158527918.0,2005,0,,7.2,7
32,125000000.0,163214888.0,493214888.0,2010,0,106.0,5.8,295600
33,63000000.0,108085305.0,188494082.0,2011,0,95.0,5.4,37952
34,32000000.0,54712227.0,140428499.0,2011,0,93.0,7.5,559321
35,13400000.0,164247.0,164247.0,2011,0,100.0,3.5,1334
36,5500000.0,1008098.0,15867314.0,2011,0,,7.2,7
37,4000000.0,120016.0,120016.0,2011,0,109.0,6.0,488
38,2500000.0,327716.0,593933.0,2011,0,,7.2,7
39,1500000.0,54009150.0,99870886.0,2011,0,103.0,6.8,346245
40,500000.0,100370.0,680914.0,2011,0,,7.2,7
41,190000000.0,353007020.0,1511986364.0,2015,0,137.0,7.1,420506
42,11000000.0,33307793.0,58586407.0,2015,0,109.0,7.3,64172
43,5000000.0,20773069.0,23551286.0,2016,0,120.0,4.3,13744
44,2500000.0,5205471.0,23900842.0,2016,0,101.0,7.8,145278
45,900000.0,9097072.0,9097072.0,2016,0,94.0,4.8,38074
46,30000000.0,20300157.0,29116320.0,2022,0,107.0,7.0,161300
47,2540000.0,7200000.0,7241009.0,1952,0,,7.2,7
48,658000.0,23800000.0,23800000.0,1953,0,88.0,7.0,20811
49,5000000.0,14600000.0,19600000.0,1981,0,113.0,6.2,747
50,1000000.0,17985000.0,17985130.0,1981,0,91.0,6.5,41184
51,8000000.0,21706101.0,28876702.0,1992,0,124.0,7.5,67061
52,55000000.0,78750909.0,198750909.0,1998,0,114.0,6.7,129559
53,30000000.0,79576189.0,169173206.0,2009,0,102.0,4.7,46490
54,30000000.0,9362785.0,56511457.0,2009,0,85.0,2.5,80286
55,18000000.0,24007324.0,27148898.0,2009,0,86.0,5.8,65857
56,1000000.0,486919.0,1227316.0,2013,0,,8.0,15
57,42000000.0,0.0,15451663.0,2015,0,,7.2,7
58,40000000.0,0.0,734423.0,2015,0,88.0,6.3,3423
59,38000000.0,71091594.0,107453907.0,2015,0,94.0,4.4,41968
60,15000000.0,0.0,3471.0,2015,0,101.0,5.7,2358
61,11900000.0,208588.0,5685597.0,2015,0,113.0,6.2,48438
62,1000000.0,6870.0,6870.0,2015,0,104.0,6.1,2273
63,50000000.0,21903748.0,53956480.0,2019,0,120.0,5.3,102408
64,45000000.0,65598907.0,136998907.0,1997,0,89.0,4.9,114273
65,15000000.0,28084357.0,31070412.0,1997,0,107.0,7.3,101182
66,12000.0,413802.0,413802.0,1997,0,93.0,6.0,28686
67,22000000.0,14252830.0,14307223.0,2001,0,,7.2,7
68,16000000.0,27087695.0,30987695.0,2001,0,91.0,6.0,62004
69,7000000.0,23247539.0,23393939.0,2001,0,94.0,5.5,2499
70,56000000.0,135560942.0,195484552.0,2003,0,106.0,6.3,231643
71,45000000.0,28013509.0,161735791.0,2003,0,87.0,6.3,177060
72,7000000.0,12634962.0,17005466.0,2003,0,89.0,6.0,95722
73,800000.0,58163.0,58163.0,2003,0,87.0,4.1,220
74,250000.0,3802390.0,3809226.0,2003,0,101.0,7.0,10570
75,20000000.0,26418667.0,65457811.0,2008,0,109.0,6.8,122501
76,18000000.0,43869350.0,57193655.0,2008,0,88.0,3.9,38604
77,4000000.0,9427026.0,19174817.0,2008,0,105.0,6.3,628
78,220000000.0,65233400.0,313477717.0,2012,0,131.0,5.8,260257
79,2700000.0,1220807.0,5969923.0,2012,0,70.0,7.0,8
80,20000000.0,32015787.0,78613981.0,2013,0,,7.2,7
81,70000.0,0.0,8555.0,2013,0,87.0,5.8,20507
82,25000000.0,28842237.0,29847480.0,2014,0,110.0,6.8,68382
83,18000000.0,4438438.0,23910210.0,2014,0,116.0,7.1,43023
84,5000000.0,27695246.0,44115496.0,2014,0,,7.2,7
85,4000000.0,373375.0,373375.0,2014,0,,7.2,7
86,200000.0,8509867.0,18413804.0,2014,0,98.0,5.1,21405
87,50000000.0,68757539.0,106547052.0,2024,0,109.0,7.0,183801
88,200000.0,8750000.0,99750000.0,1979,0,88.0,6.8,234333
89,20000000.0,18400000.0,18400000.0,1985,0,121.0,6.9,52042
90,45000000.0,66790248.0,66790248.0,2002,0,98.0,6.5,75388
91,11000000.0,13110448.0,19947280.0,2002,0,100.0,7.2,93560
92,5600000.0,32543449.0,74566042.0,2002,0,112.0,6.7,117870
93,300000.0,33312.0,33312.0,2006,0,,7.2,7
94,40000000.0,3688560.0,32030610.0,2007,0,107.0,7.2,271835
95,26000000.0,16008272.0,30601801.0,2012,0,110.0,6.4,88860
96,31000000.0,95020213.0,97470701.0,2013,0,128.0,7.5,104294
97,3000000.0,0.0,47469.0,2013,0,85.0,5.3,1851
98,13000000.0,464495.0,2394619.0,2018,0,105.0,6.3,5974
99,3500000.0,41411015.0,95292744.0,2018,0,100.0,5.2,67101
100,16000000.0,441366.0,1573603.0,2019,0,84.0,8.2,25
101,14000000.0,40713082.0,49231674.0,2019,0,90.0,4.9,280
102,14000000.0,40713082.0,49231674.0,2019,0,116.0,6.3,11235
103,14000000.0,12138565.0,57926850.0,2019,0,105.0,5.3,68609
104,2500000.0,255599.0,306217.0,2019,0,136.0,6.0,8355
105,340000.0,0.0,379.0,1957,0,96.0,9.0,890263
106,11000000.0,20388920.0,20388920.0,1978,0,145.0,6.4,8895
107,2600000.0,32980880.0,32981717.0,1984,0,91.0,6.0,61395
108,13000000.0,7881335.0,7884087.0,1994,0,95.0,6.8,35369
109,25000000.0,71500556.0,272595053.0,2001,0,97.0,6.8,268478
110,30000000.0,0.0,2717302.0,2007,0,118.0,7.1,12303
111,20000000.0,80818974.0,118537627.0,2007,0,105.0,6.8,261201
112,15500000.0,1237615.0,1237615.0,2007,0,90.0,4.9,575
113,750000.0,5520368.0,5520368.0,2007,0,,7.2,7
114,20000000.0,0.0,22139590.0,2010,0,,7.2,7
115,30000000.0,44338224.0,54052249.0,2012,0,,7.2,7
116,30000000.0,42073277.0,70683134.0,2012,0,95.0,7.0,461964
117,20000000.0,14326865.0,33943049.0,2012,0,,7.2,7
118,5000000.0,204157.0,204157.0,2012,0,118.0,6.5,4555
119,1200000.0,595018.0,595018.0,2012,0,108.0,5.8,3057
120,930000.0,30905.0,30905.0,2012,0,,7.2,7
121,650000.0,1129408.0,6477294.0,2017,0,89.0,6.8,28018
122,25000000.0,3054285.0,3823620.0,2018,0,84.0,6.9,2639
123,4000000.0,21096678.0,21799053.0,2022,0,124.0,6.5,32365
124,41000000.0,3496761.0,7777708.0,2023,0,101.0,5.4,11764
125,43000000.0,37035515.0,62063972.0,2000,0,103.0,6.1,55277
126,29000000.0,37036404.0,45336404.0,2000,0,128.0,6.4,53539
127,8000000.0,15070285.0,34270285.0,2000,0,102.0,7.6,747007
128,3000000.0,4170647.0,30438635.0,2000,0,,7.2,7
129,80000000.0,37384046.0,99010667.0,2006,0,82.0,5.2,28111
130,40000000.0,90710620.0,178710620.0,2006,0,83.0,5.1,131291
131,950000.0,1024640.0,8267066.0,2006,0,104.0,7.0,170119
132,18000000.0,0.0,309608.0,2016,0,92.0,5.4,16342
133,35000000.0,8176562.0,11174650.0,2023,0,179.0,6.7,66092
134,7000000.0,90463574.0,201463574.0,1983,0,95.0,6.2,60708
135,5000000.0,12232628.0,12232628.0,1983,0,107.0,6.3,14427
136,375000.0,2400000.0,29400000.0,1983,0,85.0,7.4,238232
137,2000000.0,72544.0,72544.0,1998,0,,7.2,7
138,18500000.0,65233369.0,109175673.0,2005,0,90.0,5.9,119064
139,2000000.0,388532.0,466106.0,2005,0,97.0,6.8,9924
140,2000000.0,120620.0,2226603.0,2005,0,90.0,7.2,20829
141,3000000.0,0.0,895932.0,2008,0,,7.2,7
142,40000000.0,38180928.0,95989590.0,2011,0,111.0,6.2,175524
143,30000000.0,26692846.0,50145607.0,2011,0,,7.2,7
144,25000000.0,11538204.0,15907411.0,2011,0,122.0,6.9,30234
145,20000000.0,54030051.0,54404202.0,2016,0,111.0,5.9,16356
146,20000000.0,8813410.0,14365639.0,2016,0,,7.2,7
147,5000000.0,3220371.0,3807503.0,2016,0,95.0,7.0,143135
148,6300000.0,0.0,15607881.0,2022,0,128.0,6.6,37889
149,35000000.0,4496583.0,4496583.0,1993,0,,7.2,7
150,75000000.0,64062587.0,73521587.0,1999,0,108.0,6.8,56105
151,52000000.0,23010607.0,26922492.0,2003,0,104.0,5.5,52584
152,9000000.0,6126237.0,12657377.0,2003,0,80.0,4.8,4499
153,6000000.0,17583468.0,18504539.0,2003,0,91.0,7.2,29832
154,55000000.0,66207920.0,153535982.0,2004,0,137.0,8.0,821692
155,33000000.0,33664370.0,54533774.0,2004,0,124.0,6.4,173056
156,20000000.0,8047525.0,9649039.0,2004,0,98.0,6.3,8735
157,28000000.0,48071303.0,97531134.0,2010,0,117.0,7.6,601660
158,21000000.0,42739347.0,48977233.0,2010,0,92.0,5.7,54428
159,12500000.0,1089445.0,3931367.0,2010,0,118.0,6.9,4287
160,10000000.0,1475746.0,3541565.0,2010,0,117.0,7.2,102
161,8300000.0,493296.0,1353296.0,2010,0,117.0,6.3,3277
162,3500000.0,6391436.0,40527719.0,2010,0,,7.2,7
163,40000000.0,0.0,27000219.0,2013,0,,7.2,7
164,200000000.0,203530343.0,709672746.0,2014,0,142.0,6.6,550360
165,12000000.0,91386097.0,100913556.0,2014,0,99.0,5.8,28964
166,30000000.0,42629776.0,68984536.0,2015,0,112.0,7.2,211923
167,15000000.0,29145924.0,29145924.0,1998,0,111.0,6.0,21801
168,30000000.0,0.0,1692644.0,2003,0,110.0,6.6,19815
169,60000000.0,37017955.0,88832210.0,2009,0,127.0,7.1,162463
170,40000000.0,64167069.0,139474906.0,2009,0,102.0,6.4,220275
171,20000000.0,13684249.0,35472739.0,2009,0,,7.2,7
172,2500000.0,80136.0,108907.0,2009,0,90.0,6.0,6722
173,9000000.0,0.0,15660664.0,2013,0,95.0,6.1,3450
174,500000.0,152449.0,152449.0,2013,0,,7.2,7
175,1500000.0,0.0,5396.0,2014,0,112.0,6.7,4368
176,50000000.0,1224330.0,8004221.0,2015,0,137.0,6.4,76696
177,1000000.0,32789645.0,64364198.0,2015,0,83.0,5.6,83196
178,150000.0,7193.0,7193.0,2015,0,72.0,6.8,193
179,9000000.0,54733739.0,123133739.0,2019,0,93.0,5.3,59476
180,28000000.0,25867515.0,42645515.0,2024,0,87.0,7.5,23
181,28000000.0,25867515.0,42645515.0,2024,0,,5.2,212
182,25000000.0,15502112.0,23506237.0,1986,0,,7.2,7
183,42000000.0,4408420.0,4408420.0,1997,0,108.0,4.5,7191
184,3000000.0,3602884.0,4002884.0,1997,0,95.0,5.4,11270
185,60000000.0,90580000.0,165890634.0,2002,0,92.0,5.5,147179
186,28000000.0,11689053.0,39134983.0,2003,0,,7.2,7
187,20000000.0,67383924.0,71232214.0,2003,0,117.0,7.0,102878
188,15000000.0,34308901.0,34499204.0,2003,0,86.0,5.2,21201
189,4500000.0,181655.0,4548505.0,2003,0,,7.2,7
190,55000000.0,52075270.0,129059885.0,2008,0,104.0,6.5,110490
191,30000000.0,63172463.0,105475310.0,2008,0,111.0,7.1,306337
192,30000000.0,16930884.0,32955399.0,2008,0,108.0,5.9,78868
193,12000000.0,303439.0,7203439.0,2008,0,,7.2,7
194,8000000.0,109045.0,3270974.0,2008,0,95.0,5.9,33699
195,500000.0,32033.0,32033.0,2008,0,89.0,5.3,1272
196,100000000.0,23022309.0,103039258.0,2014,0,119.0,6.2,240708
197,4000000.0,17329487.0,21206861.0,2014,0,86.0,4.7,23904
198,4000000.0,9134.0,47552.0,2014,0,93.0,6.3,39897
199,55000000.0,50119408.0,93917124.0,2024,0,131.0,7.1,112438
200,35000000.0,1320043.0,1320043.0,1996,0,,7.2,7
201,25000000.0,10039566.0,10039566.0,1996,0,105.0,6.2,8868
202,3500000.0,886410.0,886410.0,2000,0,,7.2,7
203,50000000.0,31874869.0,56643267.0,2002,0,115.0,6.2,63504
204,5000000.0,241438208.0,374890034.0,2002,0,95.0,6.6,146658
205,25000000.0,60457138.0,96633833.0,2012,0,101.0,6.4,115083
206,12000000.0,0.0,1828400.0,2012,0,,7.2,7
207,120000000.0,89107235.0,287916633.0,2013,0,124.0,7.0,560927
208,1500000.0,1165881.0,1541131.0,2013,0,101.0,5.2,32960
209,1250000.0,2850357.0,2940411.0,2013,0,,7.2,7
210,1200000.0,2859955.0,2859955.0,2013,0,113.0,5.9,3403
211,6250000.0,0.0,13201162.0,2018,0,138.0,6.3,1536
212,10500000.0,59936321.0,71796856.0,1968,0,149.0,8.3,734164
213,8500000.0,51048435.0,51048857.0,1976,0,138.0,7.9,128536
214,12500000.0,7000000.0,21000000.0,1982,0,118.0,6.2,24598
215,5000000.0,12592907.0,12592907.0,1982,0,110.0,7.0,23100
216,6500000.0,24103594.0,24103594.0,1993,0,108.0,6.2,9393
217,40000000.0,28544120.0,28544120.0,1999,0,90.0,5.5,15181
218,6000.0,48482.0,240495.0,1999,0,69.0,7.4,103708
219,30000000.0,3517797.0,6460758.0,2003,0,118.0,5.3,56
220,110000000.0,50026353.0,76482461.0,2004,0,,7.2,7
221,60000000.0,59623958.0,99823958.0,2004,0,122.0,6.9,356158
222,56000000.0,46213824.0,47856383.0,2004,0,86.0,6.3,110962
223,30000000.0,28165882.0,30089110.0,2004,0,111.0,5.9,42132
224,10000000.0,488872.0,42776032.0,2004,0,87.0,7.3,91056
225,85000000.0,155064265.0,359347833.0,2009,0,107.0,6.5,316859
226,20000000.0,60095852.0,60831067.0,2010,0,121.0,4.7,10417
227,9000000.0,70066.0,85527.0,2010,0,105.0,6.4,28143
228,6000000.0,115862.0,117796.0,2010,0,99.0,6.6,9563
229,6000000.0,13722.0,13722.0,2010,0,87.0,5.8,2495
230,4900000.0,276901.0,23347461.0,2010,0,99.0,7.2,40865
231,4000000.0,129078.0,38899792.0,2010,0,,7.2,7
232,15000.0,115592.0,115592.0,2010,0,88.0,6.0,1475
233,10000000.0,15532137.0,30792024.0,2021,0,99.0,5.1,28815
234,4000000.0,38251425.0,38252270.0,1977,0,93.0,8.0,281106
235,1500000.0,5100000.0,55000000.0,1979,0,127.0,7.8,131013
236,25000000.0,25590119.0,39393111.0,2001,0,95.0,4.8,26532
237,15000000.0,14249005.0,14249005.0,2001,0,87.0,4.7,52198
238,10500000.0,11052958.0,14140402.0,2007,0,97.0,6.4,32874
239,21500000.0,16684352.0,74290305.0,2012,0,112.0,6.3,91468
240,12000000.0,91547205.0,113373764.0,2012,0,122.0,6.5,51037
241,12000000.0,5669081.0,10026255.0,2012,0,145.0,6.5,5393
242,12000000.0,793352.0,1200346.0,2012,0,103.0,5.2,3886
243,32000000.0,48795601.0,91444095.0,2018,0,,7.2,7
244,13500000.0,30617396.0,31966740.0,2018,0,99.0,6.0,28697
245,4000000.0,9186156.0,9561231.0,2018,0,96.0,5.9,21937
246,11500000.0,57469179.0,57469850.0,1989,0,103.0,6.5,117695
247,40000000.0,14942422.0,14942422.0,1995,0,101.0,5.9,20472
248,62000000.0,77086030.0,127630030.0,2000,0,116.0,6.6,88581
249,15000000.0,27441122.0,27709625.0,2000,0,124.0,7.2,24873
250,14000000.0,5108820.0,12591270.0,2000,0,90.0,5.9,17807
251,14000000.0,5108820.0,12591270.0,2000,0,134.0,4.7,847
252,6000000.0,4859475.0,10619770.0,2000,0,,7.2,7
253,60000000.0,36280697.0,78080697.0,2006,0,108.0,6.1,52909
254,50000000.0,46982632.0,94704227.0,2006,0,125.0,6.5,248650
255,17000000.0,7314027.0,16510971.0,2006,0,107.0,5.5,25329
256,1000000.0,884.0,884.0,2006,0,88.0,3.7,1153
257,125000000.0,210031325.0,629975898.0,2011,0,130.0,7.3,413237
258,90000000.0,8224288.0,10551417.0,2017,0,114.0,5.9,1299
259,5500000.0,28660.0,788191.0,2017,0,116.0,6.3,28139
260,2800000.0,3600146.0,3697729.0,2017,0,87.0,5.4,7159
261,32000000.0,5426772.0,5703197.0,2023,0,,7.2,7
262,3200000.0,8000000.0,8000498.0,1962,0,123.0,8.1,83996
263,4700000.0,1705139.0,1705139.0,1988,0,113.0,6.6,8365
264,8000000.0,8864699.0,8864699.0,1994,0,110.0,6.3,1612
265,90000000.0,72708161.0,162753837.0,2005,0,128.0,6.4,111789
266,25000000.0,21835784.0,41921590.0,2005,0,107.0,6.6,71675
267,25000000.0,4008527.0,4049527.0,2005,0,95.0,4.4,3952
268,20000000.0,375474.0,375474.0,2005,0,101.0,6.1,3567
269,15500000.0,517262.0,517262.0,2005,0,99.0,6.3,1609
270,47000000.0,32011576.0,116773317.0,2009,0,,7.2,7
271,80000000.0,19422319.0,86787530.0,2010,0,,7.2,7
272,38000000.0,58709717.0,116809717.0,2011,0,120.0,6.9,121273
273,25000000.0,53345287.0,54160818.0,2011,0,106.0,4.8,8735
274,5200000.0,564489.0,11633427.0,2011,0,128.0,6.2,4207
275,4000000.0,33245.0,679482.0,2011,0,98.0,6.4,44581
276,1800000.0,638476.0,783733.0,2011,0,,7.2,7
277,365000000.0,459005868.0,1395316979.0,2015,0,141.0,7.3,940064
278,250000000.0,408084349.0,1151899586.0,2016,0,,7.2,7
279,35000000.0,4212494.0,11846010.0,2016,0,98.0,6.1,48079
280,25000000.0,32492859.0,52367022.0,2016,0,118.0,5.6,40627
281,6400000.0,0.0,9394401.0,2016,0,,7.2,7
282,3200000.0,4267219.0,5526942.0,2016,0,103.0,6.3,14341
283,1500000.0,510957.0,510957.0,2016,0,93.0,4.1,338
284,40000000.0,27466489.0,103913405.0,2021,0,119.0,7.1,215917
285,4500000.0,1500000.0,1500000.0,1986,0,122.0,7.4,23602
286,15000000.0,9579068.0,9579068.0,1993,0,122.0,6.0,20273
287,33000000.0,8408835.0,8408835.0,1999,0,124.0,6.0,30742
288,20700000.0,2840417.0,2840417.0,1999,0,97.0,6.8,108823
289,14000000.0,6552255.0,6552255.0,1999,0,100.0,5.1,6982
290,8500000.0,14943582.0,17202854.0,1999,0,103.0,7.2,106849
291,60000000.0,77906816.0,130968579.0,2004,0,146.0,7.7,396842
292,37000000.0,57139723.0,97658712.0,2004,0,98.0,6.3,224323
293,8500000.0,298347.0,30298347.0,2004,0,135.0,7.0,4801
294,3400000.0,493905.0,493905.0,2004,0,103.0,5.9,142
295,500000.0,15433.0,44793168.0,2009,0,118.0,8.5,23151
296,35000000.0,37490007.0,75281179.0,2010,0,104.0,5.3,52971
297,25000000.0,23591432.0,29863840.0,2010,0,97.0,6.2,108245
298,10000000.0,128486.0,42226657.0,2010,0,,7.2,7
299,40000000.0,83911193.0,194270103.0,2014,0,109.0,6.0,153680
300,28000000.0,20396829.0,73421224.0,2014,0,90.0,5.6,44564
301,400000000.0,858373000.0,2748242781.0,2019,0,,7.2,7
302,5000000.0,1526697.0,1526697.0,1992,0,108.0,7.1,9968
303,13000000.0,27066941.0,27073371.0,1998,0,91.0,6.1,32022
304,6000000.0,11911200.0,58809149.0,1998,0,99.0,6.7,72442
305,1000000.0,2057193.0,2315026.0,1998,0,84.0,5.5,8760
306,60000000.0,31853584.0,38522450.0,2009,0,117.0,6.7,55714
307,25000000.0,23091010.0,32831707.0,2009,0,105.0,5.6,34482
308,25000000.0,6820.0,6820.0,2009,0,111.0,5.2,27291
309,20000000.0,68261644.0,73964713.0,2009,0,108.0,5.0,34735
310,18000000.0,315000.0,315000.0,2009,0,98.0,4.9,17657
311,200000000.0,408992272.0,1214630956.0,2013,0,130.0,7.1,914328
312,26000000.0,49875291.0,81275291.0,2013,0,129.0,6.4,233163
313,25000000.0,129115.0,129115.0,2015,0,,7.2,7
314,20000000.0,6485961.0,17769299.0,2015,0,106.0,7.3,24426
315,1900000.0,478595.0,478595.0,2015,0,89.0,6.6,2148
316,20000000.0,587470.0,43888531.0,2017,0,,7.2,7
317,18000000.0,1305114.0,1305114.0,1986,0,115.0,5.7,6174
318,90000000.0,47546796.0,120100000.0,1997,0,104.0,5.5,83421
319,28000000.0,52131264.0,82119036.0,2003,0,90.0,7.3,273356
320,20000000.0,121972.0,5694213.0,2003,0,100.0,5.4,11854
321,17500000.0,325491.0,325491.0,2003,0,116.0,5.9,5886
322,15000000.0,12212417.0,12970401.0,2003,0,97.0,6.6,35681
323,15000000.0,220944.0,240025.0,2003,0,,7.2,7
324,4000000.0,3816594.0,4188034.0,2003,0,96.0,2.9,3954
325,30000000.0,60494212.0,64170447.0,2008,0,99.0,6.0,47913
326,25000000.0,4598506.0,12850033.0,2008,0,107.0,6.0,41222
327,23000000.0,10452.0,4673377.0,2008,0,,7.2,7
328,12000000.0,38108728.0,43353117.0,2008,0,,7.2,7
329,5000000.0,228830.0,332120.0,2008,0,116.0,7.4,4137
330,225000000.0,623357910.0,1515100211.0,2012,0,143.0,8.0,1481571
331,32500000.0,21819348.0,48425971.0,2013,0,89.0,5.6,52462
332,2000000.0,1370646.0,2088390.0,2014,0,,7.2,7
333,420000.0,258384.0,437002.0,2014,0,90.0,7.1,81068
334,300000000.0,678815482.0,2048359754.0,2018,0,,7.2,7
335,3500000.0,27467564.0,27936778.0,1995,0,91.0,7.2,127402
336,40000000.0,14448589.0,14448589.0,2002,0,103.0,5.8,28380
337,18000000.0,676698.0,676698.0,2002,0,103.0,7.0,32267
338,14000000.0,13121555.0,16951798.0,2002,0,92.0,4.5,62995
339,400000.0,1293295.0,1600566.0,2002,0,91.0,7.6,13472
340,15000000.0,528731.0,528731.0,2013,0,130.0,6.8,14676
341,10000000.0,21590086.0,31556959.0,2013,0,,7.2,7
342,6000000.0,20335239.0,21220422.0,2024,0,,7.2,7
343,550000.0,5269990.0,5269990.0,1984,0,101.0,7.0,1847
344,3000000.0,15000000.0,15000000.0,1990,0,100.0,5.3,4021
345,105000000.0,6712451.0,10364769.0,2001,0,104.0,4.5,5311
346,72000000.0,32616869.0,54616869.0,2001,0,116.0,4.6,43564
347,5000000.0,6755271.0,6755271.0,2001,0,90.0,5.3,9337
348,70000000.0,18211013.0,73591500.0,2007,0,96.0,6.2,168332
349,10800000.0,399879.0,2862544.0,2007,0,123.0,6.3,7120
350,7400000.0,872643.0,9443864.0,2007,0,153.0,5.7,5773
351,33000000.0,17142080.0,41495213.0,2012,0,94.0,6.5,119704
352,30000000.0,28700285.0,61623819.0,2012,0,124.0,6.2,103203
353,7500000.0,0.0,13524.0,2012,0,101.0,4.8,339
354,6000000.0,9204489.0,10106975.0,2012,0,,7.2,7
355,900000.0,7396.0,7396.0,2012,0,94.0,6.6,10958
356,135000.0,408015.0,429448.0,2012,0,85.0,6.6,23161
357,23000000.0,0.0,58807172.0,2017,0,,7.2,7
358,410000.0,0.0,217.0,1955,0,106.0,7.5,22455
359,12000000.0,22744718.0,41744718.0,1967,0,,7.2,7
360,58000000.0,35231365.0,59431365.0,2000,0,90.0,3.7,25903
361,31000000.0,44983704.0,68079671.0,2000,0,118.0,7.4,117502
362,15000000.0,33771174.0,40862054.0,2000,0,120.0,6.7,36942
363,55000000.0,71724497.0,87473024.0,2006,0,,7.2,7
364,20000000.0,26910736.0,30399714.0,2006,0,103.0,6.4,30884
365,18000000.0,31567134.0,77635035.0,2006,0,111.0,7.6,112243
366,9600000.0,2484186.0,5256839.0,2006,0,144.0,6.5,9978
367,8000000.0,18848430.0,18959424.0,2006,0,112.0,7.4,21962
368,3000000.0,5529144.0,11322573.0,2006,0,97.0,6.9,3315
369,425000.0,80301.0,581304.0,2006,0,,7.2,7
370,12000.0,1336.0,1336.0,2006,0,,7.2,7
371,10000.0,138711.0,138711.0,2006,0,,7.2,7
372,200000000.0,389813101.0,869087963.0,2017,0,136.0,7.6,776034
373,30000000.0,18985794.0,263502914.0,2017,0,167.0,8.2,118448
374,18000000.0,20497844.0,45497689.0,2017,0,93.0,4.8,533
375,18000000.0,20497844.0,45497689.0,2017,0,110.0,5.4,101980
376,10000000.0,32149404.0,62556228.0,2017,0,115.0,6.0,18133
377,916000.0,6179955.0,6188421.0,2017,0,98.0,5.7,2781
378,250000.0,3930990.0,3934450.0,2017,0,89.0,5.9,9338
379,30000000.0,20372406.0,21581824.0,2023,0,106.0,7.3,30677
380,9000000.0,4333569.0,4333569.0,1994,0,79.0,6.5,14775
381,60000000.0,26873932.0,71073932.0,2005,0,101.0,4.5,74325
